Numero;Simbolo;Nome;PesoAtomicoStd
1;H;Idrogeno;1.008
2;He;Elio;4.0026
3;Li;Litio;6.94
4;Be;Berillio;9.0122
5;B;Boro;10.81
6;C;Carbonio;12.011
7;N;Azoto;14.007
8;O;Ossigeno;15.999
9;F;Fluoro;18.998
10;Ne;Neon;20.18
11;Na;Sodio;22.99
12;Mg;Magnesio;24.305
13;Al;Alluminio;26.982
14;Si;Silicio;28.085
15;P;Fosforo;30.974
16;S;Zolfo;32.06
17;Cl;Cloro;35.45
18;Ar;Argon;39.95
19;K;Potassio;39.098
20;Ca;Calcio;40.078
21;Sc;Scandio;44.956
22;Ti;Titanio;47.867
23;V;Vanadio;50.942
24;Cr;Cromo;51.996
25;Mn;Manganese;54.938
26;Fe;Ferro;55.845
27;Co;Cobalto;58.933
28;Ni;Nichel;58.693
29;Cu;Rame;63.546
30;Zn;Zinco;65.38
31;Ga;Gallio;69.723
32;Ge;Germanio;72.63
33;As;Arsenico;74.922
34;Se;Selenio;78.971
35;Br;Bromo;79.904
36;Kr;Kripton;83.798
37;Rb;Rubidio;85.468
38;Sr;Stronzio;87.62
39;Y;Ittrio;88.906
40;Zr;Zirconio;91.224
41;Nb;Niobio;92.906
42;Mo;Molibdeno;95.95
43;Tc;Tecnezio;97
44;Ru;Rutenio;101.07
45;Rh;Rodio;102.91
46;Pd;Palladio;106.42
47;Ag;Argento;107.87
48;Cd;Cadmio;112.41
49;In;Indio;114.82
50;Sn;Stagno;118.71
51;Sb;Antimonio;121.76
52;Te;Tellurio;127.6
53;I;Iodio;126.9
54;Xe;Xenon;131.29
55;Cs;Cesio;132.91
56;Ba;Bario;137.33
57;La;Lantanio;138.91
58;Ce;Cerio;140.12
59;Pr;Praseodimio;140.91
60;Nd;Neodimio;144.24
61;Pm;Promezio;145
62;Sm;Samario;150.36
63;Eu;Europio;151.96
64;Gd;Gadolinio;157.25
65;Tb;Terbio;158.93
66;Dy;Disprosio;162.5
67;Ho;Olmio;164.93
68;Er;Erbio;167.26
69;Tm;Tulio;168.93
70;Yb;Itterbio;173.05
71;Lu;Lutezio;174.97
72;Hf;Afnio;178.49
73;Ta;Tantalio;180.95
74;W;Tungsteno;183.84
75;Re;Renio;186.21
76;Os;Osmio;190.23
77;Ir;Iridio;192.22
78;Pt;Platino;195.08
79;Au;Oro;196.97
80;Hg;Mercurio;200.59
81;Tl;Tallio;204.38
82;Pb;Piombo;207.2
83;Bi;Bismuto;208.98
84;Po;Polonio;209
85;At;Astato;210
86;Rn;Radon;222
87;Fr;Francio;223
88;Ra;Radio;226
89;Ac;Attinio;227
90;Th;Torio;232.04
91;Pa;Protoattinio;231.04
92;U;Uranio;238.03
93;Np;Nettunio;237
94;Pu;Plutonio;244
95;Am;Americio;243
96;Cm;Curio;247
97;Bk;Berkelio;247
98;Cf;Californio;251
99;Es;Einsteinio;252
100;Fm;Fermio;257
101;Md;Mendelevio;258
102;No;Nobelio;259
103;Lr;Laurenzio;266
104;Rf;Rutherfordio;267
105;Db;Dubnio;268
106;Sg;Seaborgio;269
107;Bh;Bohrio;270
108;Hs;Hassio;269
109;Mt;Meitnerio;278
110;Ds;Darmstadtio;281
111;Rg;Roentgenio;282
112;Cn;Copernicio;285
113;Nh;Nihonio;286
114;Fl;Flerovio;289
115;Mc;Moscovio;290
116;Lv;Livermorio;293
117;Ts;Tennesso;294
118;Og;Oganesson;294
